from_port_name,from_port_uuid,from_port_unlocode,from_port_lon,from_port_lat,to_port_name,to_port_uuid,to_port_unlocode,to_port_lon,to_port_lat,route_index,lat,lon,total_dist_nm
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,23,58.6411,-6.4895,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,24,58.543,-8.637,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,25,58.4746,-10.1362,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,26,58.3967,-11.8419,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,27,58.3925,-11.9323,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,28,58.3696,-12.4344,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,29,57.9468,-16.517,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,30,57.8239,-17.7043,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,31,57.6957,-18.9419,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,32,57.6424,-19.4569,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,33,57.5528,-20.0021,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,34,56.9834,-23.4656,6391.7062
